Altium Designer Pick and Place Locations
C:\Users\jonas\Documents\GitHub\Hardware\Altium\POCboard_JJGEEX\Project Outputs for POCboard_JJGEEX\Pick Place for PCB3.csv

========================================================================================================================
File Design Information:

Date:       31/01/21
Time:       15:00
Revision:   9eaabf04c173584a66eea7ba31cfdc1fb38b6a48
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"WIFI1","PPTC101LFBN-RC","TopLayer","10_PIN_100MIL","400.000","1400.000","90","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"U1","TAS5806MDDCPR","TopLayer","DCP0038A_N","2450.000","2972.047","0","TI Amp/DAC"
"TP_1","10x Probe TP","TopLayer","TP10x_Probe","4600.000","1050.000","360","Test Point 300 mil centers"
"R20","1 kOhm","TopLayer","R0603","2750.000","422.438","270","1kOhm +-1%  0603"
"R19","1 kOhm","TopLayer","R0603","2550.000","422.438","270","1kOhm +-1%  0603"
"R18","1 kOhm","TopLayer","R0603","2350.000","422.438","270","1kOhm +-1%  0603"
"R17","1 kOhm","TopLayer","R0603","2150.000","422.438","270","1kOhm +-1%  0603"
"R16","100 kOhm","TopLayer","R0603","2272.442","3500.000","180","100kOhm +-1%"
"R7","15 kOhm","TopLayer","R0603","2450.000","2350.002","90","15kOhm +-1%"
"R1","1 kOhm","TopLayer","R0603","1300.002","2450.000","0","1kOhm +-1%  0603"
"Q4","MFET_60v/2.5v","TopLayer","SOT23","2570.000","3330.000","270","N-Channel 60V 200mA _Tc_ 350mW _Tc_ Surface Mount SOT-23-3"
"Q3","MFET_60v/2.5v","TopLayer","SOT23","2550.000","2550.000","270","N-Channel 60V 200mA _Tc_ 350mW _Tc_ Surface Mount SOT-23-3"
"Q2","MFET_60v/2.5v","TopLayer","SOT23","2370.000","2550.000","90","N-Channel 60V 200mA _Tc_ 350mW _Tc_ Surface Mount SOT-23-3"
"Q1","MFET_60v/2.5v","TopLayer","SOT23","2340.000","3330.000","90","N-Channel 60V 200mA _Tc_ 350mW _Tc_ Surface Mount SOT-23-3"
"MK1","ICS-43434","TopLayer","MIC_ICS-43434","2450.000","3520.433","180","60Hz ~ 20kHz Digital, IÂ²S Microphone MEMS _Silicon_ 1.65V ~ 3.63V Omnidirectional _-26 Â±1dB @ 94dB SPL_ Solder Pads"
"LINE OUT1","SJ2-35364B-SMT-TR","TopLayer","CUI_SJ2-35364B-SMT-TR","350.000","307.874","90","3.5 mm, Stereo, Right Angle, Surface Mount (SMT), Audio Jack Connector"
"LED6","KT-0603R","TopLayer","LED0603-R-RD","2750.000","201.000","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED5","KT-0603R","TopLayer","LED0603-R-RD","2550.000","201.000","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED4","KT-0603R","TopLayer","LED0603-R-RD","2350.000","201.000","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED3","KT-0603R","TopLayer","LED0603-R-RD","2150.000","201.000","90","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"LED1","KT-0603R","TopLayer","LED0603-R-RD","1300.000","2699.000","270","LIGHT EMITTING DIODES (LED) RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS"
"L4","SDFL1608Q4R7KTF","TopLayer","L0603","2775.433","3110.000","180","4.7uH SDFL1608Q4R7KTF"
"L3","SDFL1608Q4R7KTF","TopLayer","L0603","2750.001","2650.000","0","4.7uH SDFL1608Q4R7KTF"
"L2","SDFL1608Q4R7KTF","TopLayer","L0603","2150.001","2650.000","0","4.7uH SDFL1608Q4R7KTF"
"L1","SDFL1608Q4R7KTF","TopLayer","L0603","2150.001","3100.000","0","4.7uH SDFL1608Q4R7KTF"
"JR1","TB001-500-02BE","TopLayer","CUI_TB001-500-02BE","3270.000","3351.575","90","2~24 Poles, Screw Type, Horizontal, 5.0 Pitch, 22~12 _AWG_, Terminal Block Connector"
"JL1","TB001-500-02BE","TopLayer","CUI_TB001-500-02BE","3270.000","2518.425","90","2~24 Poles, Screw Type, Horizontal, 5.0 Pitch, 22~12 _AWG_, Terminal Block Connector"
"J2","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL","250.000","1600.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J1","PJ-002AH","TopLayer","CUI_PJ-002AH","4642.520","468.110","270","2.0 x 6.5 mm, 5.0 A, Horizontal, Through Hole, Dc Power Jack Connector"
"DISPL1","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL","550.000","1600.000","90","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"CN2","SAMTEC-SSW-119-02-X-D","TopLayer","SAMTEC-SSW-119-02-X-D","3650.000","1098.000","270",""
"CN1","SAMTEC-SSW-119-02-X-D","TopLayer","SAMTEC-SSW-119-02-X-D","1250.000","1098.000","270",""
"C28","C_100nF_0603","TopLayer","CAPC1608X90","2610.000","3500.000","360","0.1µF/100nF  Â±10% 50V Ceramic Capacitor X7R 0603 _1608 Metric_"
"C27","C_1uF_0603","TopLayer","CAPC1608X90N","2314.000","2683.000","90","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C26","C_1uF_0603","TopLayer","CAPC1608X90N","2409.000","2686.000","90","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C25","C_1uF_0603","TopLayer","CAPC1608X90N","2650.000","2780.000","90","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C24","C_1uF_0603","TopLayer","CAPC1608X90N","2690.000","2880.000","180","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C23","C_22uF_0805","TopLayer","CAPC2012X140N","2000.000","2370.000","90","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C22","CE_470uF_1010","TopLayer","140CLH-1010","1700.000","2470.000","180","Aluminum Electrolytic Capacitors - SMD"
"C21","C_1uF_0603","TopLayer","CAPC1608X90N","1990.000","2830.000","90","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C20","C_22uF_0805","TopLayer","CAPC2012X140N","2774.449","3190.000","180","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C19","C_1uF_0603","TopLayer","CAPC1608X90N","2750.000","2980.000","180","1uF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C18","C_22uF_0805","TopLayer","CAPC2012X140N","2750.000","2800.000","0","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C17","C_22uF_0805","TopLayer","CAPC2012X140N","2150.000","2770.000","180","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C16","C_22uF_0805","TopLayer","CAPC2012X140N","2190.000","2990.000","180","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C15","C_22uF_0805","TopLayer","CAPC2012X140N","2000.000","3284.449","90","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C14","CE_470uF_1010","TopLayer","140CLH-1010","1700.000","3350.000","180","Aluminum Electrolytic Capacitors - SMD"
"C13","C_1nF_0603","TopLayer","CAPC1608X90N","2830.000","3290.000","90","1000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C12","C_680pF_0603","TopLayer","CAPC1608X90N","2730.000","3290.000","90","680pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C11","C_1nF_0603","TopLayer","CAPC1608X90N","2790.000","2510.000","270","1000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C10","C_680pF_0603","TopLayer","CAPC1608X90N","2700.000","2510.000","270","680pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C9","C_1nF_0603","TopLayer","CAPC1608X90N","2100.000","2530.000","270","1000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C8","C_22uF_0805","TopLayer","CAPC2012X140N","2000.000","2998.000","270","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C7","C_22uF_0805","TopLayer","CAPC2012X140N","2900.000","2750.000","270","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
"C6","CE_470uF_1010","TopLayer","140CLH-1010","1700.000","2910.000","180","Aluminum Electrolytic Capacitors - SMD"
"C5","CE_470uF_1010","TopLayer","140CLH-1010","3200.000","2930.000","180","Aluminum Electrolytic Capacitors - SMD"
"C4","C_680pF_0603","TopLayer","CAPC1608X90N","2210.000","2530.000","270","680pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C3","C_1nF_0603","TopLayer","CAPC1608X90N","2100.000","3250.000","90","1000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C2","C_680pF_0603","TopLayer","CAPC1608X90N","2200.000","3250.000","90","680pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C1","C_22uF_0805","TopLayer","CAPC2012X140N","4450.000","800.000","0","22µF 0805 ±20% 25V Ceramic Capacitor X5R 0805 (2012 Metric)"
